NU_ANO_CENSO;NO_REGIAO;CO_REGIAO;NO_UF;SG_UF;CO_UF;NO_MUNICIPIO;CO_MUNICIPIO;NO_REGIAO_GEOG_INTERM;CO_REGIAO_GEOG_INTERM;NO_REGIAO_GEOG_IMED;CO_REGIAO_GEOG_IMED;NO_MESORREGIAO;CO_MESORREGIAO;NO_DISTRITO;CO_DISTRITO;NO_ENTIDADE;CO_ENTIDADE;TP_DEPENDENCIA;TP_CATEGORIA_ESCOLA_PRIVADA;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;DV_ENTIDADE;COD_ENTIDADE
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;EM PROF ANTONIO JOSE NOVAES JORDAO;33036853;3;;1;0.0;0;330368530
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;CETI EM PROF JOSE AMERICO LOMEU BASTOS;33036861;3;;1;0.0;0;330368610
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;EM BRIGADEIRO NOBREGA;33037000;3;;2;0.0;0;330370000
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;CETI EM MONSENHOR PINTO CARVALHO;33037019;3;;2;0.0;0;330370190
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;EM ALMIRANTE TAMANDARE;33037043;3;;1;0.0;0;330370430
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;EM ANGELO FRANCISCO JERONIMO;33037051;3;;2;0.0;0;330370510
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;EM AUREA PIRES DA GAMA;33037060;3;;1;3.0;0;330370600
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;EM CACIQUE CUNHABEBE;33037078;3;;1;0.0;0;330370780
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;EM DR ORLANDO GONCALVES;33037094;3;;1;0.0;0;330370940
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;CETI EM DE EDUCACAO EMPREENDEDORA FREI JOAO MOREIRA;33037108;3;;1;0.0;0;330371080
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;EM CECILIA MARA EDILEUS VIEIRA;33037116;3;;1;0.0;0;330371160
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;CETI EM PREFEITO FRANCISCO PEREIRA ROCHA;33037140;3;;1;0.0;0;330371400
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;EM PROF FRANCISCO DE A OLIVEIRA DINIZ;33037183;3;;2;0.0;0;330371830
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;EM SANTOS DUMONT;33037205;3;;1;0.0;0;330372050
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;CEMEI TENENTE JOVINO;33037213;3;;2;0.0;0;330372130
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;CE LEOPOLDO AMERICO M DE MELLO;33037230;2;;1;0.0;0;330372300
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;CETI EM DE EDUCACAO EMPREENDEDORA CEL JOAO PEDRO ALMEIDA;33037272;3;;1;0.0;0;330372720
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;CETI EM DEPUTADO CAMARA TORRES;33037280;3;;2;0.0;0;330372800
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;EM PROF SYLVIO DE CASTRO GALINDO;33037299;3;;1;0.0;0;330372990
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;EM MARECHAL DUTRA;33037302;3;;1;0.0;0;330373020
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;EM RAUL POMPEIA;33037310;3;;1;0.0;0;330373100
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;CE ROBERTO MONTENEGRO;33037337;2;;1;0.0;0;330373370
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;CETI EM INACIO DURING;33037361;3;;1;0.0;0;330373610
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;CETI EM BRASIL DOS REIS;33037396;3;;2;0.0;0;330373960
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;EM GAL SILVESTRE TRAVASSOS;33037418;3;;2;0.0;0;330374180
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;CETI EM JOAQUIM ALVES DE BRITO;33037426;3;;2;0.0;0;330374260
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;CETI EM OSORIO MANOEL CORREA;33037442;3;;2;0.0;0;330374420
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;EM PEDRO SOARES;33037450;3;;2;0.0;0;330374500
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;CETI EM AYRTON SENNA DA SILVA;33037469;3;;2;0.0;0;330374690
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;CETI EM THOMAZ H MAC-CORMICK;33037477;3;;2;0.0;0;330374770
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;COLEGIO SODRE MIRANDA;33097984;4;1.0;1;0.0;0;330979840
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;ASSOCIACAO PESTALOZZI DE ANGRA DOS REIS;33098026;4;4.0;1;0.0;0;330980260
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;CENTRO DE ENSINO E APREND LARANJINHA;33098093;4;1.0;1;0.0;0;330980930
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;INSTITUTO EDUC EVANGELICO EMILIANO ROSA;33113297;4;1.0;1;0.0;0;331132970
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;JD DE INF TOCA DO COELHO ALEGRE;33120510;4;1.0;1;0.0;0;331205100
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;CE BRIGADEIRO NOBREGA;33125449;2;;2;0.0;0;331254490
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;CENTRO EDUC SOUZA NEVES LTDA ME;33132046;4;;1;;0;331320460
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;EDUCAR COOP EDUC DE ANGRA DOS REIS;33132089;4;1.0;1;0.0;0;331320890
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;CENTRO EDUC MONTEIRO LOBATO;33133794;4;1.0;1;0.0;0;331337940
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;CE PEDRO SOARES;33135860;2;;2;8.0;0;331358600
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;COOPERATIVA EDUCACIONAL CAPACITAR;33138141;4;1.0;1;0.0;0;331381410
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;CENTRO EDUCACIONAL INACIO MEDEIROS CENTRAL LTDA;33138737;4;1.0;1;0.0;0;331387370
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;CESB COOPERATIVA DE ENSINO SAO BENTO LTDA;33138745;4;1.0;1;0.0;0;331387450
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;CEJA PROFESSOR JAIR NATALINO ESPINDOLA TRAVASSOS;33139830;2;;1;0.0;0;331398300
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;E M PARA DEFICIENTES VISUAIS;33142238;3;;1;0.0;0;331422380
